"Pokemon","Fast Move","Charged Move","DPS","TDO","ER","CP"
"Eternamax Eternatus","Dragon Tail","Hyper Beam","14.836","2500.2","53.45","8187"
"Shadow Mewtwo","Confusion","Psychic","23.63","616.5","53.4","4178"
"Mega Garchomp","Dragon Tail","Earthquake","20.988","876.8","53.36","5424"
"Eternamax Eternatus","Dragon Tail","Dragon Pulse","14.769","2488.9","53.21","8187"
"Primal Kyogre","Waterfall","Hydro Pump","20.41","933.9","53.08","5902"
"Mega Mewtwo X","Psycho Cut","Focus Blast","21.874","754.3","53.01","5429"
"Mega Tyranitar","Smack Down","Brutal Swing","20.007","969.7","52.79","5347"
"Mega Lucario","Counter","Aura Sphere","23.632","582.7","52.66","3826"
"Mega Metagross","Bullet Punch","Meteor Mash","20.506","886.9","52.59","4911"
"Shadow Mewtwo","Psycho Cut","Psychic","23.257","606.8","52.56","4178"
"Mega Rayquaza","Dragon Tail","Aerial Ace","21.175","800.1","52.5","5713"
"Mega Blaziken","Counter","Blast Burn","23.199","604","52.4","4161"
"Mega Garchomp","Mud Shot","Outrage","20.588","860.1","52.34","5424"
"Mega Mewtwo Y","Confusion","Thunderbolt","21.568","743.8","52.27","5610"
"Eternamax Eternatus","Poison Jab","Hyper Beam","14.499","2443.4","52.24","8187"
"Mega Gengar","Lick","Shadow Ball","23.293","588.1","52.21","4336"
"Eternamax Eternatus","Poison Jab","Dragon Pulse","14.483","2440.7","52.18","8187"
"Mega Mewtwo Y","Confusion","Hyper Beam","21.495","741.3","52.09","5610"
"Mega Gengar","Shadow Claw","Shadow Ball","23.224","586.3","52.06","4336"
"Mega Mewtwo X","Psycho Cut","Shadow Ball","21.453","739.8","51.99","5429"
"Mega Charizard Y","Fire Spin","Blast Burn","21.882","692.9","51.91","4455"
"Mega Blaziken","Fire Spin","Blast Burn","22.867","595.3","51.65","4161"
"Calyrex - Shadow Rider","Confusion","Shadow Ball","21.715","692.9","51.61","4540"
"Mega Mewtwo Y","Confusion","Focus Blast","21.272","733.6","51.55","5610"
"Rayquaza","Air Slash","Dragon Ascent","22.158","648.6","51.54","3835"
"Mega Alakazam","Confusion","Psychic","23.092","572.8","51.53","4510"
"Eternamax Eternatus","Dragon Tail","Cross Poison","14.283","2406.9","51.46","8187"
"Primal Groudon","Dragon Tail","Earthquake","19.755","904","51.38","5902"
"Primal Groudon","Mud Shot","Earthquake","19.658","899.5","51.13","5902"
"Mega Latios","Dragon Breath","Psychic","20.808","757.8","51.12","5007"
"Mega Sceptile","Fury Cutter","Frenzy Plant","22.595","589.4","51.06","4056"
"Mega Charizard Y","Wing Attack","Blast Burn","21.515","681.2","51.04","4455"
"Mega Metagross","Zen Headbutt","Meteor Mash","19.871","859.4","50.96","4911"
"Mega Lucario","Bullet Punch","Aura Sphere","22.867","563.8","50.95","3826"
"Eternamax Eternatus","Dragon Tail","Flamethrower","14.127","2380.8","50.9","8187"
"Mega Mewtwo Y","Confusion","Flamethrower","20.978","723.4","50.84","5610"
"Mega Rayquaza","Air Slash","Hurricane","20.498","774.6","50.82","5713"
"Mega Salamence","Dragon Tail","Outrage","19.874","847.4","50.79","5031"
"Mega Alakazam","Psycho Cut","Psychic","22.687","562.7","50.63","4510"
"Mega Mewtwo X","Confusion","Thunderbolt","20.881","720.1","50.6","5429"
"Mega Garchomp","Mud Shot","Earth Power","19.898","831.3","50.59","5424"
"Mega Swampert","Water Gun","Hydro Cannon","20.258","786.1","50.56","4401"
"Mega Salamence","Dragon Tail","Draco Meteor","19.778","843.4","50.54","5031"
"Mega Mewtwo X","Confusion","Hyper Beam","20.811","717.7","50.43","5429"
"Shadow Metagross","Bullet Punch","Meteor Mash","21.763","627","50.42","3791"
"Mega Gengar","Hex","Shadow Ball","22.487","567.7","50.41","4336"
"Mega Swampert","Mud Shot","Hydro Cannon","20.133","781.3","50.25","4401"
"Eternamax Eternatus","Poison Jab","Cross Poison","13.919","2345.7","50.15","8187"
"Mega Mewtwo Y","Confusion","Ice Beam","20.676","713","50.1","5610"
"Mega Gengar","Shadow Claw","Sludge Bomb","22.318","563.4","50.03","4336"
"Primal Kyogre","Waterfall","Blizzard","19.203","878.7","49.94","5902"
"Mega Gengar","Lick","Sludge Bomb","22.211","560.8","49.79","4336"
"Mega Heracross","Counter","Megahorn","20.624","698.3","49.75","4814"
"Mega Latios","Zen Headbutt","Psychic","20.238","737","49.72","5007"
"Mega Charizard Y","Air Slash","Blast Burn","20.889","661.4","49.55","4455"
"Calyrex - Shadow Rider","Confusion","Psychic","20.846","665.2","49.55","4540"
"Black Kyurem","Dragon Tail","Outrage","20.266","724","49.55","4605"
"Eternamax Eternatus","Poison Jab","Flamethrower","13.753","2317.7","49.55","8187"
"Mega Mewtwo Y","Psycho Cut","Thunderbolt","20.429","704.5","49.51","5610"
"Mega Rayquaza","Air Slash","Aerial Ace","19.966","754.5","49.5","5713"
"Mewtwo","Confusion","Psystrike","20.918","654.9","49.48","4178"
"Mega Charizard Y","Ember","Blast Burn","20.855","660.3","49.47","4455"
"Shadow Mewtwo","Confusion","Shadow Ball","21.873","570.6","49.43","4178"
"Primal Groudon","Dragon Tail","Fire Blast","19.004","869.6","49.43","5902"
"Mega Alakazam","Counter","Psychic","22.145","549.3","49.42","4510"
"Primal Groudon","Dragon Tail","Fire Punch","18.998","869.3","49.41","5902"
"Mewtwo","Psycho Cut","Psystrike","20.884","653.8","49.4","4178"
"Mega Mewtwo Y","Psycho Cut","Hyper Beam","20.374","702.6","49.37","5610"
"Shadow Salamence","Dragon Tail","Outrage","22.163","541.8","49.28","3749"
"Mega Mewtwo X","Confusion","Flamethrower","20.31","700.4","49.22","5429"
"Primal Groudon","Dragon Tail","Solar Beam","18.917","865.6","49.2","5902"
"Mega Tyranitar","Iron Tail","Brutal Swing","18.612","902.1","49.11","5347"
"Mega Gengar","Sucker Punch","Shadow Ball","21.874","552.2","49.03","4336"
"Mega Blaziken","Counter","Blaze Kick","21.698","564.9","49.01","4161"
"Shadow Garchomp","Dragon Tail","Outrage","20.826","636.3","48.96","3962"
"Shadow Metagross","Zen Headbutt","Meteor Mash","21.128","608.7","48.95","3791"
"Mega Gallade","Confusion","Psychic","20.663","646.4","48.87","4521"
"Shadow Tyranitar","Bite","Brutal Swing","20.725","638.6","48.83","3834"
"Mega Gardevoir","Confusion","Psychic","20.667","643.9","48.83","4512"
"Mega Latios","Dragon Breath","Luster Purge","19.87","723.7","48.81","5007"
"Primal Groudon","Mud Shot","Fire Blast","18.71","856.2","48.66","5902"
"Mega Mewtwo Y","Psycho Cut","Focus Blast","20.053","691.5","48.6","5610"
"Mega Mewtwo X","Confusion","Ice Beam","20.016","690.3","48.51","5429"
"Mega Garchomp","Mud Shot","Earthquake","19.076","796.9","48.5","5424"
"Primal Groudon","Mud Shot","Fire Punch","18.647","853.3","48.5","5902"
"Mega Sceptile","Bullet Seed","Frenzy Plant","21.445","559.4","48.46","4056"
"Primal Groudon","Mud Shot","Solar Beam","18.619","852","48.42","5902"
"Mega Salamence","Fire Fang","Outrage","18.903","806.1","48.3","5031"
"Mega Blaziken","Counter","Overheat","21.344","555.7","48.21","4161"
"Mega Latios","Dragon Breath","Dragon Claw","19.599","713.8","48.15","5007"
"Shadow Tyranitar","Smack Down","Brutal Swing","20.432","629.6","48.14","3834"
"Mega Blaziken","Fire Spin","Blaze Kick","21.27","553.8","48.05","4161"
"Mega Gardevoir","Charm","Psychic","20.311","632.8","47.99","4512"
"Mega Mewtwo X","Psycho Cut","Thunderbolt","19.787","682.4","47.95","5429"
"Shadow Mewtwo","Psycho Cut","Shadow Ball","21.213","553.4","47.94","4178"
"Mega Alakazam","Confusion","Shadow Ball","21.464","532.4","47.9","4510"
"Shadow Salamence","Dragon Tail","Draco Meteor","21.532","526.4","47.88","3749"
"Mega Charizard Y","Dragon Breath","Blast Burn","20.177","638.9","47.86","4455"
"Mega Charizard Y","Fire Spin","Overheat","20.166","638.5","47.84","4455"
"Mega Mewtwo X","Psycho Cut","Hyper Beam","19.736","680.6","47.83","5429"
"Shadow Dragonite","Dragon Tail","Outrage","20.854","575.4","47.8","3792"
"Black Kyurem","Dragon Tail","Blizzard","19.527","697.6","47.74","4605"
"Primal Kyogre","Waterfall","Thunder","18.357","840","47.74","5902"
"Shadow Garchomp","Dragon Tail","Earth Power","20.294","620","47.71","3962"
"Mega Gardevoir","Confusion","Dazzling Gleam","20.19","629","47.7","4512"
"Mega Gengar","Hex","Sludge Bomb","21.271","537","47.68","4336"
"Mega Heracross","Counter","Close Combat","19.763","669.2","47.67","4814"
"Mega Alakazam","Confusion","Future Sight","21.327","529","47.6","4510"
"Mega Mewtwo Y","Psycho Cut","Flamethrower","19.635","677.1","47.58","5610"
"Mega Metagross","Bullet Punch","Psychic","18.501","800.2","47.45","4911"
"Mega Mewtwo Y","Psycho Cut","Ice Beam","19.547","674.1","47.37","5610"
"Mega Garchomp","Dragon Tail","Fire Blast","18.623","778","47.35","5424"
"Shadow Salamence","Fire Fang","Outrage","21.22","518.8","47.19","3749"
"Shadow Moltres","Fire Spin","Sky Attack","21.042","529.5","47.13","3465"
"Mega Blaziken","Fire Spin","Overheat","20.849","542.8","47.1","4161"
"Mega Salamence","Dragon Tail","Return","18.432","786","47.1","5031"
"Mega Gardevoir","Charm","Dazzling Gleam","19.92","620.6","47.06","4512"
"Mega Salamence","Fire Fang","Draco Meteor","18.418","785.4","47.06","5031"
"Shadow Lugia","Extrasensory","Aeroblast+","17.949","843.4","46.99","3703"
"Mega Gallade","Low Kick","Psychic","19.852","621","46.95","4521"
"Shadow Latios","Dragon Breath","Psychic","20.605","554.5","46.93","3812"
"Mega Blaziken","Counter","Brave Bird","20.718","539.4","46.8","4161"
"Reshiram","Fire Fang","Fusion Flare","19.312","666.3","46.8","4038"
"Black Kyurem","Shadow Claw","Outrage","19.14","683.8","46.79","4605"
"Mega Gallade","Confusion","Synchronoise","19.781","618.8","46.78","4521"
"Mega Alakazam","Confusion","Return","20.952","519.7","46.76","4510"
"Shadow Dragonite","Dragon Tail","Draco Meteor","20.404","563","46.76","3792"
"Mega Gardevoir","Confusion","Synchronoise","19.784","616.4","46.74","4512"
"Mega Salamence","Bite","Outrage","18.241","777.8","46.61","5031"
"Shadow Garchomp","Dragon Tail","Earthquake","19.812","605.3","46.58","3962"
"Shadow Dragonite","Dragon Breath","Outrage","20.307","560.3","46.54","3792"
"Mega Blaziken","Counter","Focus Blast","20.588","536","46.51","4161"
"Mega Latios","Zen Headbutt","Dragon Claw","18.931","689.5","46.51","5007"
"Shadow Garchomp","Mud Shot","Outrage","19.776","604.2","46.49","3962"
"Mega Latias","Dragon Breath","Psychic","17.987","798.4","46.43","4801"
"Shadow Mewtwo","Confusion","Thunderbolt","20.537","535.8","46.41","4178"
"Mega Metagross","Zen Headbutt","Psychic","18.088","782.3","46.39","4911"
"Galarian Darmanitan (Zen Mode)","Ice Fang","Avalanche","21.009","499","46.38","3905"
"Terrakion","Double Kick","Sacred Sword","19.461","626.2","46.35","3698"
"Mega Charizard Y","Wing Attack","Overheat","19.533","618.5","46.34","4455"
"Mega Latios","Zen Headbutt","Luster Purge","18.859","686.8","46.33","5007"
"Mega Alakazam","Psycho Cut","Shadow Ball","20.748","514.6","46.3","4510"
"Mega Latios","Dragon Breath","Solar Beam","18.837","686","46.28","5007"
"Mega Gengar","Sucker Punch","Sludge Bomb","20.642","521.1","46.27","4336"
"Mega Diancie","Rock Throw","Rock Slide","20.42","538.5","46.27","4346"
"Mega Latias","Dragon Breath","Outrage","17.888","794","46.17","4801"
"Mega Gardevoir","Charm","Synchronoise","19.525","608.3","46.13","4512"
"Mewtwo","Confusion","Psychic","19.487","610.1","46.09","4178"
"Mega Mewtwo X","Psycho Cut","Flamethrower","19.02","655.9","46.09","5429"
"Mega Alakazam","Psycho Cut","Future Sight","20.648","512.1","46.08","4510"
"Mega Tyranitar","Bite","Stone Edge","17.463","846.4","46.08","5347"
"Shadow Moltres","Wing Attack","Sky Attack","20.564","517.4","46.06","3465"
"Mega Sceptile","Fury Cutter","Leaf Blade","20.357","531","46.01","4056"
"Mega Heracross","Counter","Earthquake","19.073","645.8","46.01","4814"
"Mega Tyranitar","Bite","Return","17.419","844.3","45.96","5347"
"White Kyurem","Dragon Breath","Blizzard","18.793","671.4","45.95","4605"
"Mega Tyranitar","Smack Down","Return","17.411","843.9","45.94","5347"
"Mega Alakazam","Counter","Shadow Ball","20.571","510.3","45.91","4510"
"Mega Blastoise","Water Gun","Hydro Cannon","18.807","667.7","45.91","3941"
"Mega Mewtwo X","Psycho Cut","Ice Beam","18.932","652.9","45.88","5429"
"Shadow Salamence","Bite","Outrage","20.591","503.4","45.79","3749"
"Mega Charizard Y","Fire Spin","Flamethrower","19.303","611.2","45.79","4455"
"Shadow Mewtwo","Confusion","Hyper Beam","20.244","528.2","45.75","4178"
"Mega Tyranitar","Smack Down","Stone Edge","17.333","840.1","45.73","5347"
"Mega Banette","Shadow Claw","Shadow Ball","21.219","456.1","45.69","3594"
"Zacian - Crowned Sword","Metal Claw","Play Rough","18.56","679.9","45.66","4448"
"Yveltal","Snarl","Oblivion Wing","18.604","673.9","45.64","3781"
"Shadow Latios","Zen Headbutt","Psychic","20.034","539.1","45.63","3812"
"Shadow Dragonite","Dragon Tail","Dragon Claw","19.882","548.6","45.57","3792"
"Mega Blaziken","Fire Spin","Brave Bird","20.148","524.5","45.51","4161"
"Hoopa (Unbound)","Confusion","Psychic","19.952","536.2","45.43","4006"
"Mewtwo","Psycho Cut","Psychic","19.193","600.9","45.4","4178"
"Shadow Metagross","Bullet Punch","Psychic","19.586","564.2","45.38","3791"
"Mega Gardevoir","Confusion","Shadow Ball","19.209","598.5","45.38","4512"
"Ash Greninja","Feint Attack","Surf","20.826","469.3","45.37","3984"
"Mega Blaziken","Fire Spin","Focus Blast","20.073","522.6","45.34","4161"
"Shadow Mewtwo","Confusion","Focus Blast","20.04","522.8","45.29","4178"
"Mega Alakazam","Counter","Future Sight","20.247","502.2","45.18","4510"
"Mega Diancie","Rock Throw","Power Gem","19.934","525.7","45.17","4346"
"Mega Gengar","Shadow Claw","Psychic","20.134","508.3","45.13","4336"
"Zekrom","Dragon Breath","Fusion Bolt","18.618","642.4","45.12","4038"
"Mega Salamence","Dragon Tail","Hydro Pump","17.656","752.9","45.12","5031"
"Shadow Mewtwo","Confusion","Flamethrower","19.957","520.7","45.1","4178"
"Shadow Tyranitar","Iron Tail","Brutal Swing","19.141","589.8","45.1","3834"
"Shadow Dragonite","Dragon Breath","Draco Meteor","19.669","542.7","45.08","3792"
"Shadow Mamoswine","Mud Slap","Avalanche","20.377","487.6","45.07","3328"
"Ash Greninja","Bubble","Surf","20.672","465.8","45.04","3984"
"Mega Latias","Zen Headbutt","Psychic","17.448","774.4","45.03","4801"
"Mega Tyranitar","Smack Down","Crunch","17.055","826.6","45","5347"
"Shadow Ho-Oh","Incinerate","Brave Bird","18.589","637.6","44.99","3863"
"Mega Rayquaza","Dragon Tail","Ancient Power","18.147","685.7","44.99","5713"
"Galarian Darmanitan (Zen Mode)","Tackle","Avalanche","20.365","483.7","44.96","3905"
"Mega Gardevoir","Charm","Shadow Ball","19.032","593","44.96","4512"
"Mega Tyranitar","Bite","Crunch","17.039","825.8","44.96","5347"
"Shadow Dragonite","Steel Wing","Outrage","19.614","541.2","44.95","3792"
"Calyrex - Shadow Rider","Confusion","Psyshock","18.913","603.5","44.95","4540"
"Mega Latias","Zen Headbutt","Outrage","17.413","772.9","44.95","4801"
"Mega Alakazam","Confusion","Dazzling Gleam","20.14","499.5","44.94","4510"
"Mega Charizard Y","Air Slash","Overheat","18.943","599.8","44.93","4455"
"Shadow Garchomp","Mud Shot","Earth Power","19.102","583.6","44.91","3962"
"Mega Charizard X","Fire Spin","Blast Burn","18.907","601.3","44.9","3850"
"Mega Salamence","Bite","Draco Meteor","17.569","749.2","44.9","5031"
"Mega Gardevoir","Charge Beam","Psychic","18.942","590.2","44.75","4512"
"Mega Gallade","Low Kick","Synchronoise","18.895","591.1","44.69","4521"
"Zacian - Crowned Sword","Snarl","Play Rough","18.15","664.9","44.65","4448"
"Shadow Salamence","Fire Fang","Draco Meteor","20.069","490.6","44.63","3749"
"Mega Gallade","Charm","Psychic","18.835","589.2","44.54","4521"
"Shadow Raikou","Thunder Shock","Wild Charge","19.513","526.1","44.46","3452"
"Shadow Honchkrow","Snarl","Sky Attack","22.093","361.8","44.44","2711"
"Mega Charizard Y","Ember","Overheat","18.736","593.2","44.44","4455"
"Shadow Mewtwo","Confusion","Ice Beam","19.657","512.8","44.43","4178"
"Shadow Metagross","Zen Headbutt","Psychic","19.175","552.4","44.42","3791"
"Reshiram","Dragon Breath","Fusion Flare","18.321","632.2","44.4","4038"
"Shadow Latios","Dragon Breath","Luster Purge","19.485","524.4","44.38","3812"
"Lugia","Extrasensory","Aeroblast++","16.186","912.7","44.35","3703"
"Shadow Ursaluna","Tackle","High Horsepower","18.482","611.7","44.33","3854"
"Yveltal","Gust","Oblivion Wing","18.065","654.4","44.32","3781"
"Mega Gallade","Confusion","Return","18.724","585.8","44.28","4521"
"Mega Charizard Y","Fire Spin","Return","18.666","591","44.28","4455"
"Regigigas","Zen Headbutt","Giga Impact","17.97","662.2","44.27","4346"
"Mega Gardevoir","Confusion","Return","18.727","583.5","44.24","4512"
"Mega Sceptile","Bullet Seed","Leaf Blade","19.573","510.6","44.23","4056"
"Shadow Latios","Dragon Breath","Dragon Claw","19.411","522.4","44.21","3812"
"Mega Gyarados","Bite","Hydro Pump","17.364","729.3","44.2","4717"
"Mega Banette","Hex","Shadow Ball","20.523","441.2","44.19","3594"
"Mega Alakazam","Confusion","Focus Blast","19.792","490.9","44.17","4510"
"Shadow Mewtwo","Psycho Cut","Thunderbolt","19.538","509.7","44.16","4178"
"Mega Latios","Zen Headbutt","Solar Beam","17.974","654.6","44.15","5007"
"Shadow Ursaluna","Tackle","Return","18.404","609.1","44.14","3854"
"Shadow Blaziken","Counter","Blast Burn","21.278","393.5","44.13","2848"
"Shadow Entei","Fire Fang","Overheat","19.076","545.8","44.12","3473"
"Shadow Dragonite","Dragon Breath","Dragon Claw","19.21","530","44.03","3792"
"Mega Alakazam","Counter","Return","19.726","489.3","44.02","4510"
"Mega Charizard Y","Fire Spin","Fire Blast","18.557","587.6","44.02","4455"
"Mega Gengar","Lick","Psychic","19.634","495.7","44.01","4336"
"Lunala","Confusion","Shadow Ball","17.5","698","43.98","4042"
"Mega Charizard Y","Wing Attack","Flamethrower","18.526","586.6","43.95","4455"
"Shadow Lugia","Extrasensory","Aeroblast","16.782","788.5","43.94","3703"
"Zacian - Crowned Sword","Fire Fang","Play Rough","17.848","653.8","43.91","4448"
"Calyrex - Ice Rider","Confusion","Avalanche","17.476","696.4","43.91","4235"
"Mega Gardevoir","Charm","Return","18.581","578.9","43.9","4512"
"Mega Gardevoir","Charge Beam","Dazzling Gleam","18.574","578.7","43.88","4512"
"Mega Charizard X","Dragon Breath","Blast Burn","18.477","587.6","43.88","3850"
"White Kyurem","Dragon Breath","Dragon Pulse","17.949","641.2","43.88","4605"
"Zacian - Crowned Sword","Quick Attack","Play Rough","17.826","653","43.86","4448"
"Shadow Ho-Oh","Incinerate","Sacred Fire+","18.12","621.5","43.85","3863"
"Mega Alakazam","Psycho Cut","Return","19.643","487.2","43.84","4510"
"Mega Gallade","Confusion","Leaf Blade","18.536","579.9","43.84","4521"
"Mega Diancie","Rock Throw","Moonblast","19.337","509.9","43.82","4346"
"Reshiram","Fire Fang","Overheat","18.075","623.7","43.81","4038"
"Shadow Dragonite","Dragon Tail","Hurricane","19.106","527.2","43.79","3792"
"Regigigas","Hidden Power (Fire)","Giga Impact","17.774","655","43.79","4346"
"Regigigas","Hidden Power (Fighting)","Giga Impact","17.774","655","43.79","4346"
"Regigigas","Hidden Power (Water)","Giga Impact","17.774","655","43.79","4346"
"Regigigas","Hidden Power (Flying)","Giga Impact","17.774","655","43.79","4346"
"Regigigas","Hidden Power (Grass)","Giga Impact","17.774","655","43.79","4346"
"Regigigas","Hidden Power (Poison)","Giga Impact","17.774","655","43.79","4346"
"Regigigas","Hidden Power (Electric)","Giga Impact","17.774","655","43.79","4346"
"Regigigas","Hidden Power (Ground)","Giga Impact","17.774","655","43.79","4346"
"Regigigas","Hidden Power (Psychic)","Giga Impact","17.774","655","43.79","4346"
"Regigigas","Hidden Power (Rock)","Giga Impact","17.774","655","43.79","4346"
"Regigigas","Hidden Power (Ice)","Giga Impact","17.774","655","43.79","4346"
"Regigigas","Hidden Power (Bug)","Giga Impact","17.774","655","43.79","4346"
"Regigigas","Hidden Power (Dragon)","Giga Impact","17.774","655","43.79","4346"
"Regigigas","Hidden Power (Ghost)","Giga Impact","17.774","655","43.79","4346"
"Regigigas","Hidden Power (Dark)","Giga Impact","17.774","655","43.79","4346"
"Regigigas","Hidden Power (Steel)","Giga Impact","17.774","655","43.79","4346"
"Mega Latias","Dragon Breath","Mist Ball","16.957","752.7","43.77","4801"
"Yveltal","Sucker Punch","Oblivion Wing","17.838","646.2","43.76","3781"
"Shadow Moltres","Fire Spin","Overheat","19.532","491.5","43.75","3465"
"Shadow Raikou","Volt Switch","Wild Charge","19.185","517.2","43.72","3452"
"Kartana","Razor Leaf","Leaf Blade","20.374","428.9","43.64","3677"
"Shadow Dragonite","Dragon Tail","Dragon Pulse","19.042","525.4","43.64","3792"
"Xurkitree","Thunder Shock","Discharge","19.884","460.7","43.63","3937"
"Mega Gengar","Shadow Claw","Focus Blast","19.463","491.4","43.63","4336"
"Black Kyurem","Shadow Claw","Blizzard","17.844","637.5","43.63","4605"
"Mega Gengar","Shadow Claw","Sludge Wave","19.461","491.3","43.62","4336"
"Metagross","Bullet Punch","Meteor Mash","17.983","621.7","43.61","3791"
"Keldeo","Low Kick","Sacred Sword","18.306","589.1","43.6","3698"
"Zekrom","Charge Beam","Fusion Bolt","17.989","620.7","43.6","4038"
"Shadow Zapdos","Thunder Shock","Drill Peck","19.366","497.3","43.59","3527"
"Mega Salamence","Dragon Tail","Fire Blast","17.057","727.3","43.59","5031"
"Mega Gyarados","Waterfall","Hydro Pump","17.116","718.9","43.57","4717"
"Zekrom","Dragon Breath","Wild Charge","17.975","620.2","43.56","4038"
"Shadow Lugia","Dragon Tail","Aeroblast+","16.625","781.2","43.53","3703"
"Shadow Blaziken","Fire Spin","Blast Burn","20.982","388","43.51","2848"
"Rayquaza","Dragon Tail","Outrage","18.68","546.8","43.45","3835"
"Reshiram","Fire Fang","Draco Meteor","17.923","618.4","43.44","4038"
"Xurkitree","Spark","Discharge","19.794","458.7","43.43","3937"
"White Kyurem","Steel Wing","Blizzard","17.761","634.5","43.42","4605"
"Shadow Mewtwo","Psycho Cut","Hyper Beam","19.205","501","43.4","4178"
"Mega Gallade","Confusion","Close Combat","18.333","573.5","43.36","4521"
"Calyrex - Ice Rider","Confusion","Psychic","17.241","687","43.32","4235"
"Mega Charizard Y","Air Slash","Flamethrower","18.259","578.1","43.31","4455"
"Mega Heracross","Struggle Bug","Megahorn","17.945","607.6","43.29","4814"
"Mega Manectric","Thunder Fang","Wild Charge","19.32","486.4","43.28","3580"
"Shadow Ho-Oh","Extrasensory","Brave Bird","17.854","612.4","43.21","3863"
"Mega Latias","Charm","Outrage","16.731","742.6","43.18","4801"
"Groudon","Mud Shot","Precipice Blades","17.492","649","43.17","4115"
"Shadow Mamoswine","Powder Snow","Avalanche","19.513","466.9","43.16","3328"
"Mega Alakazam","Counter","Dazzling Gleam","19.331","479.5","43.14","4510"
"Shadow Entei","Fire Spin","Overheat","18.644","533.4","43.12","3473"
"Mega Charizard Y","Dragon Breath","Overheat","18.172","575.4","43.11","4455"
"Shadow Ho-Oh","Steel Wing","Brave Bird","17.812","611","43.11","3863"
"Terrakion","Smack Down","Sacred Sword","18.09","582.1","43.09","3698"
"Mega Tyranitar","Smack Down","Fire Blast","16.32","791","43.06","5347"
"Kyogre","Waterfall","Origin Pulse","17.439","647","43.04","4115"
"Shadow Alakazam","Confusion","Psychic","21.197","359.2","43.01","3057"
"Mega Latias","Charm","Psychic","16.664","739.6","43.01","4801"
"Mega Blastoise","Bite","Hydro Cannon","17.617","625.4","43","3941"
"Mega Salamence","Fire Fang","Return","16.828","717.6","43","5031"
"Ash Greninja","Feint Attack","Hydro Pump","19.726","444.5","42.98","3984"
"Shadow Electivire","Thunder Shock","Wild Charge","20.271","409","42.96","3079"
"Mega Tyranitar","Bite","Fire Blast","16.281","789.1","42.96","5347"
"Mega Alakazam","Psycho Cut","Dazzling Gleam","19.243","477.3","42.94","4510"
"Mega Venusaur","Vine Whip","Frenzy Plant","17.382","645.4","42.91","3698"
"Mega Houndoom","Fire Fang","Foul Play","18.574","528","42.89","3842"
"Shadow Ho-Oh","Hidden Power (Fire)","Brave Bird","17.722","607.9","42.89","3863"
"Shadow Ho-Oh","Hidden Power (Flying)","Brave Bird","17.722","607.9","42.89","3863"
"Shadow Zapdos","Thunder Shock","Thunderbolt","19.049","489.1","42.88","3527"
"Shadow Swampert","Water Gun","Hydro Cannon","18.92","498.9","42.88","2974"
"Shadow Mamoswine","Mud Slap","High Horsepower","19.372","463.6","42.85","3328"
"Shadow Salamence","Dragon Tail","Hydro Pump","19.267","471","42.84","3749"
